composition,Phase
Al1 Co1 Cr1 Fe1 Ni2.1,BCC+Sec
Al1 Co1 Cr1 Fe1 Ni2.2,BCC+Sec
Al0.8 Co1 Cr1 Ni1 Si0.2,BCC+Sec
Al1 Co0.5 Cr1 Fe1 Mo0.5,BCC+Sec
Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec
Al1 Co1.5 Cr1 Fe1 Mo0.5,BCC+Sec
Al1 Co1.5 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec
Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Sec
Al1 Co1 Cr1 Fe1 Ni1 Ti1.5,BCC+Sec
Al1.4 Co0.9 Cr1.4 Cu0.5 Fe0.9 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,BCC+Sec
Al0.5 Nb1 Ti1 V1 Zr1,BCC+Sec
Al1 Nb1 Ti1 V1 Zr0.5,BCC+Sec
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,BCC+Sec
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,BCC+Sec
Al1 Co0.2 Cr1.5 Fe0.2 Ni1 Si1 Ti0.2,BCC+Sec
Al1 Co0.2 Cr1 Fe0.2 Ni1 Si1 Ti0.2,BCC+Sec
Al1 Co0.6 Cr1 Fe0.2 Ni0.2 Si0.2 Ti0.2,BCC+Sec
Al0.67 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,BCC+Sec
Al0.5 Cr1 Mo1 Nb1 Si0.3 Ti1 V1,BCC+Sec
Al1 C0.1 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1 C0.2 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1 C0.3 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1 C0.4 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1 C0.5 Co1 Cr1 Fe1 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,BCC+Sec
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec
Al1 Co1 Cr1 Cu0.5 Fe1 Ni2.5,BCC+Sec
Al3 Cr1 Fe1 Mn1 Ti0.25,BCC+Sec
Co1 Cr1 Mo1 Nb1,BCC+Sec
Co1 Cr1 Mo1 Nb1 Ti1,BCC+Sec
Co1 Cr1 Mo1 Nb1 Ti0.2,BCC+Sec
Co1 Cr1 Mo1 Nb1 Ti0.5,BCC+Sec
Hf1 Mo1 Nb1 Si0.3 Ti1 V1,BCC+Sec
Hf1 Mo1 Nb1 Si0.5 Ti1 V1,BCC+Sec
Hf1 Mo1 Nb1 Si0.7 Ti1 V1,BCC+Sec
Al1 Co1 Cr1 Cu1 Fe1 Mo0.4 Ni1,BCC+Sec
Al1 Co1 Cr1 Cu1 Fe1 Mo0.6 Ni1,BCC+Sec
Al1 Co1 Cr1 Cu1 Fe1 Mo0.8 Ni1,BCC+Sec
Al1 Co1 Cr1 Cu1 Fe1 Mo1 Ni1,BCC+Sec
Cr1 Cu1 Fe1 Ni1 Zr1,BCC+Sec
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC+Sec
Al0.667 Co1 Cr0.667 Fe0.667 Mo0.333 Ni0.667,BCC+Sec
Al0.667 Co0.667 Cr0.667 Fe1 Mo0.333 Ni0.667,BCC+Sec
Al0.5 Co0.5 Cr0.5 Fe1 Mo0.25 Ni0.5,BCC+Sec
Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,BCC+Sec
Fe1 Mo1 Ni1 Ti1 V1 Zr1,BCC+Sec
C0.1 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC+Sec
C0.3 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,BCC+Sec
Hf1 Nb1 Si0.5 Ti1 V1,BCC+Sec
Al0.667 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,BCC+Sec
Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,BCC+Sec
Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,BCC+Sec
Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,BCC+Sec
Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,BCC+Sec
Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,BCC+Sec
C0.2 Mo1 Nb1 Re0.5 Ta0.2 W1,BCC+Sec
C0.4 Mo1 Nb1 Re0.5 Ta0.4 W1,BCC+Sec
C0.5 Mo1 Nb1 Re0.5 Ta0.5 W1,BCC+Sec
C0.6 Mo1 Nb1 Re0.5 Ta0.6 W1,BCC+Sec
Ta1 Ti1 Zr1,BCC+Sec
Nb1 Ta0.667 Ti0.667 Zr0.333,BCC+Sec
Nb0.333 Ta0.667 Ti0.667 Zr1,BCC+Sec
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,FCC
Al0.3 Cr1 Cu1 Fe1 Ni2,FCC
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1,FCC
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,FCC
Co1 Cr1 Cu2 Fe1 Mn1 Ni1,FCC
Co1 Cr1 Cu1 Fe1 Mn1 Ni1,FCC
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC
Co1 Cr1 Fe1 Ni1,FCC
Cr0.5 Cu1 Fe1 Mn0.5 Ni1,FCC
Cr1 Cu0.5 Fe1 Mn1 Ni1,FCC
Cr1 Cu0.7 Fe1 Ni1,FCC
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC
Al0.25 Co1 Fe1 Ni1,FCC
Co1 Fe1 Ni1,FCC
Co1 Fe1 Ni1 Si0.25,FCC
Co1 Cr1 Fe1 Ni1 Ti1,FCC
Co1 Cr1 Cu1 Fe1 Ni1,FCC
Cr1 Cu1 Fe1 Mo1 Ni1,FCC
Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,FCC
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,FCC
Co1 Cr1 Fe1 Mn1 Ni1 V0.25,FCC
Co1 Cr1 Cu0.5 Fe1 Ni1,FCC
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 Ti0.2,FCC
Co1 Cu1 Fe1 Ni1,FCC
Co1 Cu1 Fe1 Ni1 Sn0.02,FCC
Co1 Cu1 Fe1 Mn1 Ni1,FCC
Co1 Cu1 Fe1 Mn1 Ni1 Sn0.03,FCC
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,FCC
Al1 Cu1 Fe1 Ni1 Ti1,FCC
Al1 Cu1 Ni1 Ti1,FCC
Co1 Fe1 Ni1 V1,FCC
Cu1 Mn1 Ni1 Zn0.333,FCC
Cu1 Mn1 Ni1 Zn0.25,FCC
Al0.053 Cu1 Mn1 Ni1,FCC
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC
Al0.304 Co1 Cr1 Fe1 Ni1,FCC
Al0.25 Cr0.417 Fe0.417 Ni1,FCC
Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,FCC
Co1 Cr1 Fe1 Ni1 W0.2,FCC
Co0.25 Cr0.25 Fe1 Mn1,FCC
Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,FCC
Co1 Cr1 Fe1 Mo0.15 Ni1,FCC
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,FCC
Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC
Al1 Cu0.077 Fe0.077 Mg0.077 Si0.231 Zn0.077,FCC
Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,FCC
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,FCC
Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,FCC
Co1 Cr1 Fe1 Mo0.2 Ni1,FCC
Mn0.298 Fe0.702,FCC
Mn0.35 Fe0.65,FCC
Mn0.5 Fe0.5,FCC
Mn0.5 Co0.5,FCC
Mn0.139 Ni0.861,FCC
Mn0.22 Ni0.78,FCC
Mn0.25 Ni0.75,FCC
Mn0.5 Ni0.5,FCC
Mn0.7 Ni0.3,FCC
Mn0.8 Ni0.2,FCC
Mn0.874 Ni0.126,FCC
Mn0.5 Cu0.5,FCC
Mn0.23 Pd0.77,FCC
Mn0.25 Pd0.75,FCC
Mn0.3 Pd0.7,FCC
Mn0.31 Pd0.69,FCC
Mn0.16 Ag0.84,FCC
Mn0.97 Ag0.03,FCC
Mn0.2 Pt0.8,FCC
Mn0.25 Pt0.75,FCC
Mn0.33 Pt0.67,FCC
Mn0.5 Pt0.5,FCC
Mn0.19 Au0.81,FCC
Fe0.1 Co0.9,FCC
Fe0.5 Ni0.5,FCC
Fe0.2 Nb0.8,FCC
Fe0.27 Mo0.73,FCC
Fe0.5 Pd0.5,FCC
Fe0.5 Ag0.5,FCC
Fe0.5 Pt0.5,FCC
Fe0.08 Au0.92,FCC
Fe0.5 Au0.5,FCC
Co0.87 Ti0.13,FCC
Co0.7 V0.3,FCC
Co0.75 V0.25,FCC
Co0.876 V0.124,FCC
Co0.9 Cr0.1,FCC
Co0.5 Ni0.5,FCC
Co0.23 Nb0.77,FCC
Co0.935 Nb0.065,FCC
Co0.5 Pd0.5,FCC
Co0.8 W0.2,FCC
Co0.88 W0.12,FCC
Co0.6 Re0.4,FCC
Co0.5 Pt0.5,FCC
Co0.02 Au0.98,FCC
Co0.975 Au0.025,FCC
Ni0.6 V0.4,FCC
Ni0.67 V0.33,FCC
Ni0.75 V0.25,FCC
Ni0.92 V0.08,FCC
Ni0.98 Zr0.02,FCC
Ni0.99 Zr0.01,FCC
Ni0.2 Nb0.8,FCC
Ni0.85 Nb0.15,FCC
Ni0.9 Nb0.1,FCC
Ni0.92 Nb0.08,FCC
Ni0.94 Nb0.06,FCC
Ni0.16 Mo0.84,FCC
Ni0.73 Mo0.27,FCC
Ni0.75 Mo0.25,FCC
Ni0.76 Mo0.24,FCC
Ni0.91 Mo0.09,FCC
Ni0.526 Pd0.474,FCC
Ni0.8 Pd0.2,FCC
Ni0.81 Pd0.19,FCC
Ni0.92 Pd0.08,FCC
Ni0.5 Ag0.5,FCC
Ni0.99 Hf0.01,FCC
Ni0.85 Ta0.15,FCC
Ni0.9 Ta0.1,FCC
Ni0.92 Ta0.08,FCC
Ni0.9576 Ta0.0424,FCC
Ni0.85 W0.15,FCC
Ni0.91 W0.09,FCC
Ni0.92 W0.08,FCC
Ni0.5 Pt0.5,FCC
Ni0.75 Pt0.25,FCC
Ni0.92 Pt0.08,FCC
Cu0.99 Ag0.01,FCC
Pt0.940. Ag0.060,FCC
Ag0.5 Au0.5,FCC
Ag0.5 Pd0.5,FCC
Pd0.9 Ag0.1,FCC
Pd0.7 Ag0.3,FCC
Pd0.8 Ag0.2,FCC
Ag0.5 Pt0.5,FCC
Ag0.75 Pt0.25,FCC
Ag0.91 Pt0.09,FCC
Ag0.667 Pt0.333,FCC
Ag0.91 Sc0.09,FCC
Ag0.97 Cu0.03,FCC
Ag0.99 Y0.01,FCC
Ag0.98 Y0.02,FCC
Au0.55 Cr0.45,FCC
Au0.8 Cr0.2,FCC
Au0.5 Cr0.5,FCC
Pd0.9 Au0.1,FCC
Au0.5 Pt0.5,FCC
Au0.84 V0.16,FCC
Au0.8 V0.2,FCC
Au0.88 Ti0.12,FCC
Au0.925 Zr0.075,FCC
Au0.92 Sc0.08,FCC
Au0.99 Mo0.01,FCC
Au0.9 Ta0.1,FCC
Cu0.75 Au0.25,FCC
Cu0.68 Au0.32,FCC
Au0.5 Cu0.5,FCC
Cu0.88 Au0.12,FCC
Au0.71 Cu0.29,FCC
Cu0.97 Au0.03,FCC
Cu0.791 Au0.209,FCC
Cu0.75 Pd0.25,FCC
Cu0.748 Pd0.252,FCC
Cu0.712 Pd0.288,FCC
Cu0.7 Pd0.3,FCC
Cu0.54 Pd0.46,FCC
Pd0.866 Cu0.134,FCC
Cu0.5 Pt0.5,FCC
Cu0.77 Cr0.23,FCC
Cu0.95 Ti0.05,FCC
Cu0.92 Ti0.08,FCC
Cu0.96 Ti0.04,FCC
Cu0.98 Ti0.02,FCC
Pt0.8 Mo0.2,FCC
Pd0.6 Mo0.4,FCC
Pd0.82 Mo0.18,FCC
Pd0.74 Mo0.26,FCC
Mo0.85 Re0.15,FCC
Pd0.88 Nb0.12,FCC
Pd0.83 Nb0.17,FCC
Pd0.82 Nb0.18,FCC
Pd0.92 Nb0.08,FCC
Pt0.82 Nb0.18,FCC
Nb0.5 Pd0.5,FCC
Pd0.5 Pt0.5,FCC
Pt0.9 Hf0.1,FCC
Pd0.6 Cr0.4,FCC
Pd0.67 Cr0.33,FCC
Pd0.7 Cr0.3,FCC
Pd0.75 Cr0.25,FCC
Cr0.5 Pt0.5,FCC
Pt0.8 Cr0.2,FCC
Pt0.75 Cr0.25,FCC
Pd0.88 Re0.12,FCC
Pt0.58 Re0.42,FCC
Pt0.7 Re0.3,FCC
Pd0.85 Sc0.15,FCC
Pd0.925 Sc0.075,FCC
Pd0.9 Sc0.1,FCC
Pd0.92 Ta0.08,FCC
Pd0.82 Ta0.18,FCC
Pd0.86 Ta0.14,FCC
Pd0.9 Ti0.1,FCC
Pd0.85 Ti0.15,FCC
Pd0.75 V0.25,FCC
Pd0.81 V0.19,FCC
Pd0.9 V0.1,FCC
Pt0.6 V0.4,FCC
Pt0.75 V0.25,FCC
Pd0.78 W0.22,FCC
Pd0.6 W0.4,FCC
Pt0.5 W0.5,FCC
Pd0.88 Y0.12,FCC
Pd0.9 Y0.1,FCC
Nb0.81 Zr0.19,FCC
Pd0.79 Zr0.21,FCC
Pd0.8 Zr0.2,FCC
Pd0.85 Zr0.15,FCC
Zr0.88 Nb0.12,FCC
Pd0.92 Lu0.08,FCC
Pd0.88 Lu0.12,FCC
Ag0.25 Au0.25 Pd0.5,FCC
Co0.15 Ni0.6 Pd0.25,FCC
Co0.25 Ni0.25 Pt0.5,FCC
Cr0.125 Mn0.125 Pt0.75,FCC
Cr0.25 Co0.25 Pt0.5,FCC
Cr0.3 W0.05 Ni0.65,FCC
Cu0.33 Au0.33 Ni0.34,FCC
Cu0.33 Ni0.33 Pd0.34,FCC
Fe0.75 Ni0.125 Pt0.125,FCC
Mn0.175 Fe0.65 Ni0.175,FCC
Mn0.33 Fe0.33 Co0.34,FCC
Mn0.3 Co0.2 Pt0.5,FCC
V0.25 Co0.375 Ni0.375,FCC
V0.25 Co0.375 Pd0.375,FCC
V0.25 Ni0.375 Pd0.375,FCC
Fe0.08 Ti0.092 V0.828,FCC
Au0.5 Cu0.49 Fe0.01,FCC
Au0.018 Co0.853 Fe0.129,FCC
Cr0.144 Ni0.808 Ti0.048,FCC
Cu0.333 Ni0.333 Pd0.333,FCC
Mo0.125 Ni0.75 V0.125,FCC
Ni0.375 Pd0.375 V0.25,FCC
Fe0.5 Mn0.2 Ni0.3,FCC
Cr0.2 Ni0.72 W0.08,FCC
Cr0.23 Mn0.08 Ni0.69,FCC
Ag0.375 Au0.375 Pd0.25,FCC
Pd0.75 Ag0.125 Au0.125,FCC
Pd0.34 Ag0.33 Au0.33,FCC
Ag0.34 Au0.33 Pd0.33,FCC
Ni0.34 Cu0.3 Pd0.3,FCC
Ni0.5 Cu0.29 Fe0.21,FCC
Cu0.75 Ni0.17 Fe0.08,FCC
Pt0.5 Co0.25 Fe0.25,FCC
Mo0.6 Cr0.2 W0.2,FCC
Co1 Mn1 Ni1,FCC
Cr1 Fe1 Ni1,FCC
Fe1 Mn1 Ni1,FCC
Co1 Cr1 Ni1,FCC
Co1 Fe1 Mn1 Ni1,FCC
Co1 Cr1 Mn1 Ni1,FCC
Cu1 Ni1 Co1 Fe1,FCC
Cu1 Ni1 Co1 Fe1 Mn1,FCC
Cu1 Ni2 Fe1 Mn2 Cr1,FCC
Fe1 Co1 Ni1 Cr1 Cu1,FCC
Fe1 Cr1 Mn1 Ni1 Co1,FCC
V1 Cu1 Fe1 Co1 Ni1,FCC
Co1 Cr1 Fe1 Mn1 Nb1 Ni1,FCC
Co0.5 Cr1 Fe1 Mn1.5 Ni1,FCC
Co1 Cr1 Fe1 Mo0.85 Ni1,FCC
Co1 Cr1 Fe1 Mo1 Ni1,FCC
Co1 Cr1 Fe1 Nb0.3 Ni1,FCC
Co1 Cr2 Fe1 Ni1,FCC
Co1.5 Cr1 Fe1 Ni1.5 Ti1,FCC
Co1 Cr1 Fe1 Ni1 W1,FCC
Co1 Fe1 Mn1 Mo1 Ni1,FCC
Co1 Fe1 Mn1 Ni1 V1,FCC
Ag0.18 Cu0.35 Au0.37 Pd0.10,FCC
Fe0.698 Cr0.195 Ni0.093 Mn0.014,FCC
Co0.25 Ni0.25 Pd0.25 V0.25,FCC
Co1.5 Cr0.5 Fe1 Mn0.5 Ni1,FCC
Co1 Cr0.75 Fe1 Mn0.75 Ni1,FCC
Co1 Cr1.25 Fe1 Mn0.25 Ni1,FCC
Co1 Cr1 Fe0.5 Mn0.5 Ni1.5,FCC
Co1 Cr1 Fe1 Ni1 Pd1,FCC
Co1 Cr1 Fe1 Ni1 Pd2,FCC
Co1 Cr1 Cu0.2 Fe1 Ni1,FCC
Co1 Cr1 Cu0.4 Fe1 Ni1,FCC
Co1 Cr1 Cu0.6 Fe1 Ni1,FCC
Co1 Cr1 Cu0.8 Fe1 Ni1,FCC
Co1 Cr1 Cu1 Ni1,FCC
Co1 Cr1 Fe3.5 Mn4.5,FCC
Co1 Cr1 Fe4 Mn4,FCC
Co1 Cr1 Fe4.5 Mn3.5,FCC
Co1 Cr0.4 Fe8 Mn5.4 Ni5.2,FCC
Co1 Cr1 Fe2.7 Mn1 Ni1,FCC
Co1 Cr1 Fe6 Mn1 Ni1,FCC
Co1 Cr1.3 Fe1 Mn1 Ni0.7,FCC
Co1.4 Cr1 Fe1 Mn1 Ni1,FCC
Co5 Cr2 Fe40 Mn27 Ni26,FCC
Co1 Cr1.5 Fe3.5 Mn0.5 Ni2.5 V1,FCC
Co1 Cr1 Fe1 Mo0.3 Ni1,FCC
Co42.5 Cr12.5 Fe20 Mo5 Ni20,FCC
Co1.5 Cr1 Fe1 Mo0.1 Ni1.5 Ti0.5,FCC
Co1 Cr0.5 Fe1 Ni1,FCC
Co1 Cr0.6 Fe1 Ni1,FCC
Co1 Cr0.7 Fe1 Ni1,FCC
Co1 Cr0.8 Fe1 Ni1,FCC
Co1 Cr0.95 Fe1 Ni1,FCC
Co1 Cr0.9 Fe1 Ni1,FCC
Co1 Cr1.05 Fe1 Ni1,FCC
Co1 Cr1.10 Fe1 Ni1,FCC
Co1 Cr1.15 Fe1 Ni1,FCC
Co1 Cr1 Fe1 Ni1 W0.3,FCC
Co1 Cu1 Fe1 Ni1 V1,FCC
Co1 Cu1 Fe1 Ni1 Ti1,FCC
Cr1 Cu1 Fe1 Mn2 Ni2,FCC
Cr0.66 Fe1 Mn1 Ni1,FCC
Ag1 Co1 Cr1 Fe1 Mn1 Ni1,FCC
Al0.15 Co1 Cr1 Fe1 Mn1 Ni1,FCC
Al0.1 Co1 Cr1 Fe1 Ni1,FCC
Al0.1 Co1 Fe1 Ni1 Si0.1,FCC
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1,FCC
Al0.25 Co1 Cr1 Fe1 Ni1,FCC
Al0.25 Co1 Fe1 Mn0.25 Ni1,FCC
Al0.2 Co1 Cu0.2 Fe1 Ni1,FCC
Al0.2 Co1 Fe1 Ni1 Si0.2,FCC
Al0.2 Cr1 Cu1 Fe1 Ni1,FCC
Al0.2 Cr1 Cu1 Fe1 Ni2,FCC
Al0.375 Co1 Cr1 Fe1 Ni1,FCC
Al0.3 Co1 Cr1 Cu1 Fe1 Ni1,FCC
Al0.3 Co1 Cr1 Fe1 Mo0.1 Ni1,FCC
Al0.3 Co1 Cr1 Fe1 Ni1 Ti0.1,FCC
Al0.3 Co1 Cu0.7 Fe1 Ni1,FCC
Al0.41 Co1 Cr1 Fe1 Ni1,FCC
Al0.4 Co1 Cr1 Fe1 Ni1,FCC
Al0.4 Co1 Cu0.4 Fe1 Ni1,FCC
Al0.4 Cr1 Cu1 Fe1 Ni2,FCC
Al0.5 Co1 Cr1 Cu0.5 Fe2 Ni1,FCC
Al0.5 Co1 Cr1 Cu0.5 Fe3.5 Ni1,FCC
Al0.5 Co1 Cr1 Cu0.5 Fe3 Ni1,FCC
Al0.5 Cr1 Cu1 Fe1 Ni2,FCC
Al0.6 Co1 Cu0.6 Fe1 Ni1,FCC
